"","Year","County","NumZeroDays"
"707",1982,"F45019",76
"708",1982,"F45021",98
"709",1982,"F45023",102
"710",1982,"F45025",90
"711",1982,"F45027",90
"712",1982,"F45029",71
"713",1982,"F45031",95
"714",1982,"F45033",98
"715",1982,"F45035",78
"716",1982,"F45037",95
"717",1982,"F45039",101
"718",1982,"F45041",104
"719",1982,"F45043",97
"720",1982,"F45045",86
"721",1982,"F45047",106
"722",1982,"F45049",91
"723",1982,"F45051",94
"724",1982,"F45053",88
"725",1982,"F45055",92
"726",1982,"F45057",97
"727",1982,"F45059",106
"728",1982,"F45061",97
"729",1982,"F45063",86
"730",1982,"F45065",105
"731",1982,"F45067",100
"732",1982,"F45069",95
"733",1982,"F45071",102
"734",1982,"F45073",83
"735",1982,"F45075",78
"736",1982,"F45077",81
"737",1982,"F45079",94
"738",1982,"F45081",100
"739",1982,"F45083",89
"740",1982,"F45085",90
"741",1982,"F45087",103
"742",1982,"F45089",99
"743",1982,"F45091",96
"744",1982,"F51001",30
"745",1982,"F51003",100
"746",1982,"F51005",95
"747",1982,"F51007",101
"748",1982,"F51009",87
"749",1982,"F51011",108
"750",1982,"F51013",121
"751",1982,"F51015",89
"752",1982,"F51017",81
"753",1982,"F51019",93
"754",1982,"F51021",93
"755",1982,"F51023",92
"756",1982,"F51025",102
"757",1982,"F51027",89
"758",1982,"F51029",97
"759",1982,"F51031",105
"760",1982,"F51033",107
"761",1982,"F51035",87
"762",1982,"F51036",103
"763",1982,"F51037",100
"764",1982,"F51041",90
"765",1982,"F51043",108
"766",1982,"F51045",94
"767",1982,"F51047",95
"768",1982,"F51049",109
"769",1982,"F51051",76
"770",1982,"F51053",89
"771",1982,"F51057",112
"772",1982,"F51059",117
"773",1982,"F51061",91
"774",1982,"F51063",90
"775",1982,"F51065",113
"776",1982,"F51067",94
"777",1982,"F51069",106
"778",1982,"F51071",88
"779",1982,"F51073",109
"780",1982,"F51075",112
"781",1982,"F51077",84
"782",1982,"F51079",89
"783",1982,"F51081",106
"784",1982,"F51083",104
"785",1982,"F51085",110
"786",1982,"F51087",99
"787",1982,"F51089",103
"788",1982,"F51091",86
"789",1982,"F51093",117
"790",1982,"F51095",115
"791",1982,"F51097",109
"792",1982,"F51099",111
"793",1982,"F51101",111
"794",1982,"F51103",113
"795",1982,"F51105",100
"796",1982,"F51107",113
"797",1982,"F51109",110
"798",1982,"F51111",101
"799",1982,"F51113",88
"800",1982,"F51115",123
"801",1982,"F51117",111
"802",1982,"F51119",109
"803",1982,"F51121",94
"804",1982,"F51125",90
"805",1982,"F51127",109
"806",1982,"F51131",32
"807",1982,"F51133",116
"808",1982,"F51135",102
"809",1982,"F51137",108
"810",1982,"F51139",87
"811",1982,"F51141",84
"812",1982,"F51143",96
"813",1982,"F51145",116
"814",1982,"F51147",106
"815",1982,"F51149",99
"816",1982,"F51153",110
"817",1982,"F51155",94
"818",1982,"F51157",82
"819",1982,"F51159",117
"820",1982,"F51161",91
"821",1982,"F51163",91
"822",1982,"F51165",85
"823",1982,"F51167",78
"824",1982,"F51169",89
"825",1982,"F51171",92
"826",1982,"F51173",77
"827",1982,"F51175",107
"828",1982,"F51177",104
"829",1982,"F51179",107
"830",1982,"F51181",104
"831",1982,"F51183",104
"832",1982,"F51185",87
"833",1982,"F51187",96
"834",1982,"F51191",82
"835",1982,"F51193",115
"836",1982,"F51195",88
"837",1982,"F51197",83
"838",1982,"F51199",117
"839",1982,"F51510",121
"840",1982,"F51520",102
"841",1982,"F51530",107
"842",1982,"F51540",118
"843",1982,"F51550",116
"844",1982,"F51570",125
"845",1982,"F51580",105
"846",1982,"F51590",125
"847",1982,"F51595",128
"848",1982,"F51600",123
"849",1982,"F51610",125
"850",1982,"F51620",119
"851",1982,"F51630",127
"852",1982,"F51640",106
"853",1982,"F51650",122
"854",1982,"F51660",114
"855",1982,"F51670",130
"856",1982,"F51678",120
"857",1982,"F51680",104
"858",1982,"F51683",130
"859",1982,"F51685",123
"860",1982,"F51690",128
"861",1982,"F51700",121
"862",1982,"F51710",120
"863",1982,"F51720",96
"864",1982,"F51730",112
"865",1982,"F51735",122
"866",1982,"F51740",122
"867",1982,"F51750",128
"868",1982,"F51760",105
"869",1982,"F51770",97
"870",1982,"F51775",99
"871",1982,"F51790",112
"872",1982,"F51800",123
"873",1982,"F51810",33
"874",1982,"F51820",99
"875",1982,"F51830",123
"876",1982,"F51840",126
"877",1983,"F13001",111
"878",1983,"F13003",106
"879",1983,"F13005",116
"880",1983,"F13007",110
"881",1983,"F13009",125
"882",1983,"F13011",101
"883",1983,"F13013",116
"884",1983,"F13015",105
"885",1983,"F13017",118
"886",1983,"F13019",115
"887",1983,"F13021",119
"888",1983,"F13023",126
"889",1983,"F13025",90
"890",1983,"F13027",116
"891",1983,"F13029",104
"892",1983,"F13031",117
"893",1983,"F13033",115
"894",1983,"F13035",116
"895",1983,"F13037",118
"896",1983,"F13039",75
"897",1983,"F13043",127
"898",1983,"F13045",104
"899",1983,"F13047",121
"900",1983,"F13049",83
"901",1983,"F13051",107
"902",1983,"F13053",116
"903",1983,"F13055",105
"904",1983,"F13057",113
"905",1983,"F13059",115
"906",1983,"F13061",121
"907",1983,"F13063",120
"908",1983,"F13065",103
"909",1983,"F13067",101
"910",1983,"F13069",111
"911",1983,"F13071",114
"912",1983,"F13073",123
"913",1983,"F13075",116
"914",1983,"F13077",109
"915",1983,"F13079",115
"916",1983,"F13081",123
"917",1983,"F13083",96
"918",1983,"F13085",109
"919",1983,"F13087",105
"920",1983,"F13089",113
"921",1983,"F13091",124
"922",1983,"F13093",121
"923",1983,"F13095",117
"924",1983,"F13097",103
"925",1983,"F13099",107
"926",1983,"F13101",100
"927",1983,"F13103",115
"928",1983,"F13105",127
"929",1983,"F13107",131
"930",1983,"F13109",127
"931",1983,"F13111",90
"932",1983,"F13113",114
"933",1983,"F13115",107
"934",1983,"F13117",117
"935",1983,"F13119",111
"936",1983,"F13121",101
"937",1983,"F13123",92
"938",1983,"F13125",133
"939",1983,"F13127",83
"940",1983,"F13129",112
"941",1983,"F13131",102
"942",1983,"F13133",117
"943",1983,"F13135",107
"944",1983,"F13137",110
"945",1983,"F13139",106
"946",1983,"F13141",118
"947",1983,"F13143",105
"948",1983,"F13145",118
"949",1983,"F13147",119
"950",1983,"F13149",104
"951",1983,"F13151",113
"952",1983,"F13153",118
"953",1983,"F13155",111
"954",1983,"F13157",100
"955",1983,"F13159",120
"956",1983,"F13161",109
"957",1983,"F13163",116
"958",1983,"F13165",124
"959",1983,"F13167",125
"960",1983,"F13169",117
"961",1983,"F13171",122
"962",1983,"F13173",118
"963",1983,"F13175",123
"964",1983,"F13177",106
"965",1983,"F13179",103
"966",1983,"F13181",127
"967",1983,"F13183",113
"968",1983,"F13185",115
"969",1983,"F13187",112
"970",1983,"F13189",120
"971",1983,"F13191",92
"972",1983,"F13193",121
"973",1983,"F13195",110
"974",1983,"F13197",114
"975",1983,"F13199",109
"976",1983,"F13201",114
"977",1983,"F13205",112
"978",1983,"F13207",119
"979",1983,"F13209",122
"980",1983,"F13211",112
"981",1983,"F13213",85
"982",1983,"F13215",117
"983",1983,"F13217",123
"984",1983,"F13219",117
"985",1983,"F13221",121
"986",1983,"F13223",102
"987",1983,"F13225",120
"988",1983,"F13227",104
"989",1983,"F13229",106
"990",1983,"F13231",110
"991",1983,"F13233",118
"992",1983,"F13235",129
"993",1983,"F13237",121
"994",1983,"F13239",123
"995",1983,"F13241",105
"996",1983,"F13243",113
"997",1983,"F13245",113
"998",1983,"F13247",114
"999",1983,"F13249",111
"1000",1983,"F13251",124
"1001",1983,"F13253",111
"1002",1983,"F13255",116
"1003",1983,"F13257",112
"1004",1983,"F13259",117
"1005",1983,"F13261",109
"1006",1983,"F13263",117
"1007",1983,"F13265",121
"1008",1983,"F13267",118
"1009",1983,"F13269",116
"1010",1983,"F13271",113
"1011",1983,"F13273",107
"1012",1983,"F13275",110
"1013",1983,"F13277",119
"1014",1983,"F13279",114
"1015",1983,"F13281",104
"1016",1983,"F13283",124
"1017",1983,"F13285",106
"1018",1983,"F13287",121
"1019",1983,"F13289",120
"1020",1983,"F13291",100
"1021",1983,"F13293",121
"1022",1983,"F13295",100
"1023",1983,"F13297",108
"1024",1983,"F13299",94
"1025",1983,"F13301",125
"1026",1983,"F13303",121
"1027",1983,"F13305",100
"1028",1983,"F13307",111
"1029",1983,"F13309",120
"1030",1983,"F13311",112
"1031",1983,"F13313",105
"1032",1983,"F13315",114
"1033",1983,"F13317",126
"1034",1983,"F13319",123
"1035",1983,"F13321",108
"1036",1983,"F37001",122
"1037",1983,"F37003",101
"1038",1983,"F37005",96
"1039",1983,"F37007",115
"1040",1983,"F37009",96
"1041",1983,"F37011",92
"1042",1983,"F37013",124
"1043",1983,"F37015",120
"1044",1983,"F37017",125
"1045",1983,"F37019",112
"1046",1983,"F37021",94
"1047",1983,"F37023",99
"1048",1983,"F37025",115
"1049",1983,"F37027",106
"1050",1983,"F37029",108
"1051",1983,"F37031",121
"1052",1983,"F37033",120
"1053",1983,"F37035",102
"1054",1983,"F37037",122
"1055",1983,"F37039",94
"1056",1983,"F37041",120
"1057",1983,"F37043",97
"1058",1983,"F37045",109
"1059",1983,"F37047",119
"1060",1983,"F37049",115
"1061",1983,"F37051",120
"1062",1983,"F37053",112
"1063",1983,"F37055",116
"1064",1983,"F37057",112
"1065",1983,"F37059",120
