"","Year","County","NumDays"
"669",1983,"F13119",7
"670",1983,"F13121",9
"671",1983,"F13123",12
"672",1983,"F13125",6
"673",1983,"F13127",4
"674",1983,"F13129",9
"675",1983,"F13131",11
"676",1983,"F13133",4
"677",1983,"F13135",6
"678",1983,"F13137",10
"679",1983,"F13139",7
"680",1983,"F13141",6
"681",1983,"F13143",4
"682",1983,"F13145",6
"683",1983,"F13147",2
"684",1983,"F13149",3
"685",1983,"F13151",4
"686",1983,"F13153",7
"687",1983,"F13155",8
"688",1983,"F13157",2
"689",1983,"F13159",9
"690",1983,"F13161",4
"691",1983,"F13163",7
"692",1983,"F13165",6
"693",1983,"F13167",7
"694",1983,"F13169",5
"695",1983,"F13171",6
"696",1983,"F13173",6
"697",1983,"F13175",7
"698",1983,"F13177",9
"699",1983,"F13179",5
"700",1983,"F13181",2
"701",1983,"F13183",6
"702",1983,"F13185",14
"703",1983,"F13187",8
"704",1983,"F13189",7
"705",1983,"F13191",5
"706",1983,"F13193",6
"707",1983,"F13195",2
"708",1983,"F13197",6
"709",1983,"F13199",5
"710",1983,"F13201",10
"711",1983,"F13205",12
"712",1983,"F13207",8
"713",1983,"F13209",4
"714",1983,"F13211",5
"715",1983,"F13213",8
"716",1983,"F13215",7
"717",1983,"F13217",2
"718",1983,"F13219",3
"719",1983,"F13221",4
"720",1983,"F13223",6
"721",1983,"F13225",6
"722",1983,"F13227",8
"723",1983,"F13229",5
"724",1983,"F13231",6
"725",1983,"F13233",7
"726",1983,"F13235",7
"727",1983,"F13237",7
"728",1983,"F13239",10
"729",1983,"F13241",12
"730",1983,"F13243",10
"731",1983,"F13245",7
"732",1983,"F13247",3
"733",1983,"F13249",6
"734",1983,"F13251",8
"735",1983,"F13253",8
"736",1983,"F13255",6
"737",1983,"F13257",7
"738",1983,"F13259",11
"739",1983,"F13261",8
"740",1983,"F13263",6
"741",1983,"F13265",4
"742",1983,"F13267",3
"743",1983,"F13269",6
"744",1983,"F13271",5
"745",1983,"F13273",10
"746",1983,"F13275",15
"747",1983,"F13277",11
"748",1983,"F13279",3
"749",1983,"F13281",12
"750",1983,"F13283",6
"751",1983,"F13285",7
"752",1983,"F13287",9
"753",1983,"F13289",5
"754",1983,"F13291",13
"755",1983,"F13293",6
"756",1983,"F13295",11
"757",1983,"F13297",4
"758",1983,"F13299",6
"759",1983,"F13301",6
"760",1983,"F13303",8
"761",1983,"F13305",6
"762",1983,"F13307",7
"763",1983,"F13309",5
"764",1983,"F13311",7
"765",1983,"F13313",8
"766",1983,"F13315",8
"767",1983,"F13317",5
"768",1983,"F13319",6
"769",1983,"F13321",9
"770",1983,"F37001",5
"771",1983,"F37003",8
"772",1983,"F37005",10
"773",1983,"F37007",4
"774",1983,"F37009",8
"775",1983,"F37011",7
"776",1983,"F37013",9
"777",1983,"F37015",7
"778",1983,"F37017",10
"779",1983,"F37019",7
"780",1983,"F37021",9
"781",1983,"F37023",10
"782",1983,"F37025",1
"783",1983,"F37027",7
"784",1983,"F37029",5
"785",1983,"F37031",9
"786",1983,"F37033",4
"787",1983,"F37035",9
"788",1983,"F37037",6
"789",1983,"F37039",8
"790",1983,"F37041",8
"791",1983,"F37043",11
"792",1983,"F37045",4
"793",1983,"F37047",5
"794",1983,"F37049",7
"795",1983,"F37051",7
"796",1983,"F37053",5
"797",1983,"F37055",6
"798",1983,"F37057",3
"799",1983,"F37059",3
"800",1983,"F37061",4
"801",1983,"F37063",4
"802",1983,"F37065",6
"803",1983,"F37067",2
"804",1983,"F37069",8
"805",1983,"F37071",3
"806",1983,"F37073",8
"807",1983,"F37075",9
"808",1983,"F37077",3
"809",1983,"F37079",5
"810",1983,"F37081",2
"811",1983,"F37083",6
"812",1983,"F37085",7
"813",1983,"F37087",15
"814",1983,"F37089",8
"815",1983,"F37091",7
"816",1983,"F37093",6
"817",1983,"F37095",7
"818",1983,"F37097",5
"819",1983,"F37099",12
"820",1983,"F37101",5
"821",1983,"F37103",8
"822",1983,"F37105",6
"823",1983,"F37107",3
"824",1983,"F37109",4
"825",1983,"F37111",10
"826",1983,"F37113",13
"827",1983,"F37115",6
"828",1983,"F37117",7
"829",1983,"F37119",2
"830",1983,"F37121",7
"831",1983,"F37123",3
"832",1983,"F37125",3
"833",1983,"F37127",6
"834",1983,"F37129",5
"835",1983,"F37131",5
"836",1983,"F37133",6
"837",1983,"F37135",5
"838",1983,"F37137",6
"839",1983,"F37139",4
"840",1983,"F37141",5
"841",1983,"F37143",4
"842",1983,"F37145",5
"843",1983,"F37147",6
"844",1983,"F37149",7
"845",1983,"F37151",4
"846",1983,"F37153",3
"847",1983,"F37155",9
"848",1983,"F37157",4
"849",1983,"F37159",2
"850",1983,"F37161",8
"851",1983,"F37163",7
"852",1983,"F37165",6
"853",1983,"F37167",3
"854",1983,"F37169",6
"855",1983,"F37171",8
"856",1983,"F37173",13
"857",1983,"F37175",9
"858",1983,"F37177",4
"859",1983,"F37179",2
"860",1983,"F37181",5
"861",1983,"F37183",6
"862",1983,"F37185",5
"863",1983,"F37187",6
"864",1983,"F37189",7
"865",1983,"F37191",6
"866",1983,"F37193",9
"867",1983,"F37195",6
"868",1983,"F37197",5
"869",1983,"F37199",8
"870",1983,"F45001",4
"871",1983,"F45003",6
"872",1983,"F45005",8
"873",1983,"F45007",4
"874",1983,"F45009",10
"875",1983,"F45011",8
"876",1983,"F45013",5
"877",1983,"F45015",6
"878",1983,"F45017",6
"879",1983,"F45019",8
"880",1983,"F45021",5
"881",1983,"F45023",4
"882",1983,"F45025",3
"883",1983,"F45027",7
"884",1983,"F45029",9
"885",1983,"F45031",5
"886",1983,"F45033",6
"887",1983,"F45035",3
"888",1983,"F45037",4
"889",1983,"F45039",2
"890",1983,"F45041",6
"891",1983,"F45043",10
"892",1983,"F45045",8
"893",1983,"F45047",4
"894",1983,"F45049",9
"895",1983,"F45051",5
"896",1983,"F45053",8
"897",1983,"F45055",4
"898",1983,"F45057",2
"899",1983,"F45059",5
"900",1983,"F45061",5
"901",1983,"F45063",7
"902",1983,"F45065",3
"903",1983,"F45067",6
"904",1983,"F45069",5
"905",1983,"F45071",3
"906",1983,"F45073",11
"907",1983,"F45075",7
"908",1983,"F45077",6
"909",1983,"F45079",4
"910",1983,"F45081",3
"911",1983,"F45083",7
"912",1983,"F45085",7
"913",1983,"F45087",4
"914",1983,"F45089",7
"915",1983,"F45091",3
"916",1984,"F13001",11
"917",1984,"F13003",6
"918",1984,"F13005",9
"919",1984,"F13007",10
"920",1984,"F13009",9
"921",1984,"F13011",6
"922",1984,"F13013",8
"923",1984,"F13015",11
"924",1984,"F13017",8
"925",1984,"F13019",6
"926",1984,"F13021",10
"927",1984,"F13023",6
"928",1984,"F13025",10
"929",1984,"F13027",9
"930",1984,"F13029",12
"931",1984,"F13031",9
"932",1984,"F13033",11
"933",1984,"F13035",11
"934",1984,"F13037",8
"935",1984,"F13039",11
"936",1984,"F13043",8
"937",1984,"F13045",11
"938",1984,"F13047",6
"939",1984,"F13049",10
"940",1984,"F13051",8
"941",1984,"F13053",8
"942",1984,"F13055",13
"943",1984,"F13057",13
"944",1984,"F13059",6
"945",1984,"F13061",6
"946",1984,"F13063",9
"947",1984,"F13065",9
"948",1984,"F13067",13
"949",1984,"F13069",7
"950",1984,"F13071",8
"951",1984,"F13073",6
"952",1984,"F13075",7
"953",1984,"F13077",9
"954",1984,"F13079",9
"955",1984,"F13081",5
"956",1984,"F13083",10
"957",1984,"F13085",13
"958",1984,"F13087",10
"959",1984,"F13089",13
"960",1984,"F13091",10
"961",1984,"F13093",8
"962",1984,"F13095",8
"963",1984,"F13097",10
"964",1984,"F13099",5
"965",1984,"F13101",11
"966",1984,"F13103",8
"967",1984,"F13105",10
"968",1984,"F13107",12
"969",1984,"F13109",11
"970",1984,"F13111",8
"971",1984,"F13113",9
"972",1984,"F13115",10
"973",1984,"F13117",10
"974",1984,"F13119",10
"975",1984,"F13121",14
"976",1984,"F13123",14
"977",1984,"F13125",7
"978",1984,"F13127",11
"979",1984,"F13129",12
"980",1984,"F13131",14
"981",1984,"F13133",11
"982",1984,"F13135",10
"983",1984,"F13137",8
"984",1984,"F13139",10
"985",1984,"F13141",10
"986",1984,"F13143",9
"987",1984,"F13145",7
"988",1984,"F13147",11
"989",1984,"F13149",9
"990",1984,"F13151",11
"991",1984,"F13153",10
"992",1984,"F13155",9
"993",1984,"F13157",7
"994",1984,"F13159",7
"995",1984,"F13161",6
"996",1984,"F13163",11
"997",1984,"F13165",9
"998",1984,"F13167",10
"999",1984,"F13169",8
"1000",1984,"F13171",6
"1001",1984,"F13173",4
"1002",1984,"F13175",12
"1003",1984,"F13177",9
"1004",1984,"F13179",13
"1005",1984,"F13181",8
"1006",1984,"F13183",12
"1007",1984,"F13185",7
"1008",1984,"F13187",12
"1009",1984,"F13189",5
"1010",1984,"F13191",10
"1011",1984,"F13193",10
"1012",1984,"F13195",9
"1013",1984,"F13197",8
"1014",1984,"F13199",4
"1015",1984,"F13201",6
"1016",1984,"F13205",13
"1017",1984,"F13207",11
"1018",1984,"F13209",8
"1019",1984,"F13211",9
"1020",1984,"F13213",16
"1021",1984,"F13215",9
"1022",1984,"F13217",10
"1023",1984,"F13219",9
"1024",1984,"F13221",10
"1025",1984,"F13223",9
"1026",1984,"F13225",9
"1027",1984,"F13227",14
"1028",1984,"F13229",10
"1029",1984,"F13231",5
"1030",1984,"F13233",8
"1031",1984,"F13235",11
"1032",1984,"F13237",8
"1033",1984,"F13239",8
"1034",1984,"F13241",10
"1035",1984,"F13243",8
"1036",1984,"F13245",12
"1037",1984,"F13247",10
"1038",1984,"F13249",9
"1039",1984,"F13251",8
"1040",1984,"F13253",9
"1041",1984,"F13255",7
"1042",1984,"F13257",11
"1043",1984,"F13259",10
"1044",1984,"F13261",12
"1045",1984,"F13263",7
"1046",1984,"F13265",6
"1047",1984,"F13267",11
"1048",1984,"F13269",7
"1049",1984,"F13271",3
"1050",1984,"F13273",8
"1051",1984,"F13275",12
"1052",1984,"F13277",8
"1053",1984,"F13279",7
"1054",1984,"F13281",8
"1055",1984,"F13283",7
"1056",1984,"F13285",5
"1057",1984,"F13287",10
"1058",1984,"F13289",11
"1059",1984,"F13291",7
"1060",1984,"F13293",6
"1061",1984,"F13295",9
"1062",1984,"F13297",9
"1063",1984,"F13299",9
"1064",1984,"F13301",7
"1065",1984,"F13303",14
"1066",1984,"F13305",10
